x_adj,y_adj,z(m),,x(m),y(m),z(m),,easting,northing,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,easting,489385.63,489403.618
-0.260086,52.700318,-0.931,,2.91,-3.276,-0.931,,489382.354,6203459.82,,northing,6203456.91,6203455.019
-0.254086,52.691318,-1.014,,2.916,-3.285,-1.014,,489382.345,6203459.826,,zone,30U,
-0.261086,52.699318,-1.093,,2.909,-3.277,-1.093,,489382.353,6203459.819,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,x,-1.891,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,y,17.988,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,z,-1.582,
-0.260086,52.700318,-0.931,,2.91,-3.276,-0.931,,489382.354,6203459.82,,,,
-0.254086,52.691318,-1.014,,2.916,-3.285,-1.014,,489382.345,6203459.826,,,,
-0.261086,52.699318,-1.093,,2.909,-3.277,-1.093,,489382.353,6203459.819,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.260086,52.679318,-0.935,,2.91,-3.297,-0.935,,489382.333,6203459.82,,,,
-0.277086,52.697318,-1.01,,2.893,-3.279,-1.01,,489382.351,6203459.803,,,,
-0.272086,52.690318,-1.093,,2.898,-3.286,-1.093,,489382.344,6203459.808,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.260086,52.679318,-0.935,,2.91,-3.297,-0.935,,489382.333,6203459.82,,,,
-0.277086,52.697318,-1.01,,2.893,-3.279,-1.01,,489382.351,6203459.803,,,,
-0.272086,52.690318,-1.093,,2.898,-3.286,-1.093,,489382.344,6203459.808,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.263086,52.661318,-0.937,,2.907,-3.315,-0.937,,489382.315,6203459.817,,,,
