Ch,AziCorr(deg),Dist(m),Rfl,Azi(deg),Ele(deg),t(us),x(m),y(m),z(m),
1,0.01,36.708,69,0.00,15.00,899850,0.006,35.457,9.501,
2,0.02,36.516,34,0.00,14.00,899850,0.006,35.431,8.834,
3,0.02,38.988,11,0.00,13.00,899850,0.013,37.989,8.770,
4,0.03,41.980,21,0.00,12.00,899850,0.014,41.063,8.728,
5,0.03,36.072,54,0.00,11.00,899850,0.019,35.409,6.883,
6,0.04,35.948,42,0.00,10.00,899850,0.019,35.402,6.242,
7,0.05,36.244,45,0.00,9.00,899850,0.025,35.798,5.670,
8,0.05,36.132,50,0.00,8.00,899850,0.031,35.780,5.029,
9,0.06,35.724,69,0.00,7.00,899850,0.031,35.458,4.354,
10,0.06,35.668,68,0.00,6.00,899850,0.037,35.473,3.728,
11,0.06,35.844,37,0.00,5.00,899850,0.031,35.708,3.124,
12,0.07,35.868,43,0.00,4.00,899850,0.044,35.781,2.502,
13,0.08,35.788,105,0.00,3.00,899850,0.044,35.739,1.873,
14,0.08,35.180,12,0.00,2.00,899850,0.049,35.159,1.228,
15,0.09,35.656,15,0.00,1.00,899850,0.050,35.651,0.622,
16,0.09,35.552,9,0.00,0.00,899850,0.056,35.552,0.000,
17,0.10,35.500,9,0.00,-1.00,899850,0.056,35.495,-0.620,
18,0.11,35.516,7,0.00,-2.00,899850,0.062,35.494,-1.239,
19,0.11,35.532,2,0.00,-3.00,899850,0.068,35.483,-1.860,
20,0.12,10.512,1,0.00,-4.00,899850,0.020,10.486,-0.733,
21,0.12,10.508,1,0.00,-5.00,899850,0.022,10.468,-0.916,
22,0.13,10.508,1,0.00,-6.00,899850,0.022,10.450,-1.098,
23,0.13,10.516,1,0.00,-7.00,899850,0.024,10.438,-1.282,
24,0.14,10.476,1,0.00,-8.00,899850,0.024,10.374,-1.458,
25,0.14,10.652,10,0.00,-9.00,899850,0.026,10.521,-1.666,
26,0.15,9.860,29,0.00,-10.00,899850,0.024,9.710,-1.712,
27,0.15,9.128,11,0.00,-11.00,899850,0.023,8.960,-1.742,
28,0.16,8.416,10,0.00,-12.00,899850,0.022,8.232,-1.750,
29,0.16,7.820,8,0.00,-13.00,899850,0.021,7.620,-1.759,
30,0.17,7.276,9,0.00,-14.00,899850,0.021,7.060,-1.760,
31,0.18,6.812,9,0.00,-15.00,899850,0.020,6.580,-1.763,
32,0.18,6.428,8,0.00,-16.00,899850,0.019,6.179,-1.772,
1,0.01,36.708,69,0.00,15.00,899850,0.006,35.457,9.501,
2,0.02,36.516,34,0.00,14.00,899850,0.006,35.431,8.834,
3,0.02,36.548,3,0.00,13.00,899850,0.012,35.611,8.222,
4,0.03,36.496,3,0.00,12.00,899850,0.012,35.698,7.588,
5,0.03,36.072,54,0.00,11.00,899850,0.019,35.409,6.883,
6,0.04,35.948,42,0.00,10.00,899850,0.019,35.402,6.242,
7,0.05,36.244,45,0.00,9.00,899850,0.025,35.798,5.670,
8,0.05,36.132,50,0.00,8.00,899850,0.031,35.780,5.029,
9,0.06,35.724,69,0.00,7.00,899850,0.031,35.458,4.354,
10,0.06,35.668,68,0.00,6.00,899850,0.037,35.473,3.728,
11,0.06,35.844,37,0.00,5.00,899850,0.031,35.708,3.124,
12,0.07,35.868,43,0.00,4.00,899850,0.044,35.781,2.502,
13,0.08,35.788,105,0.00,3.00,899850,0.044,35.739,1.873,
14,0.08,35.180,12,0.00,2.00,899850,0.049,35.159,1.228,
15,0.09,35.656,15,0.00,1.00,899850,0.050,35.651,0.622,
16,0.09,35.552,9,0.00,0.00,899850,0.056,35.552,0.000,
17,0.10,35.500,9,0.00,-1.00,899850,0.056,35.495,-0.620,
