Ch,AziCorr(deg),Dist(m),Rfl,Azi(deg),Ele(deg),t(us),x(m),y(m),z(m),Unnamed: 10,latitude,longitude,elevation
1,54.73,2.812,1,54.72,15.0,15101,2.218,1.568,0.728,,55.97633213741207,-3.170050520477557,2.528
1,54.73,2.812,1,54.72,15.0,15101,2.218,1.568,0.728,,55.97633213741207,-3.170050520477557,2.528
1,54.91,2.732,0,54.9,15.0,15101,2.159,1.517,0.707,,55.976331677876146,-3.1700514638861863,2.507
2,54.92,2.704,0,54.9,14.0,15101,2.147,1.508,0.654,,55.97633159674646,-3.1700516558200196,2.454
1,54.91,2.732,0,54.9,15.0,15101,2.159,1.517,0.707,,55.976331677876146,-3.1700514638861863,2.507
2,54.92,2.704,0,54.9,14.0,15101,2.147,1.508,0.654,,55.97633159674646,-3.1700516558200196,2.454
1,55.09,2.76,0,55.08,15.0,15101,2.186,1.526,0.714,,55.97633175933735,-3.170051031591617,2.5140000000000002
2,55.1,2.756,1,55.08,14.0,15101,2.193,1.53,0.667,,55.976331795431825,-3.1700509195809414,2.467
1,55.09,2.76,0,55.08,15.0,15101,2.186,1.526,0.714,,55.97633175933735,-3.170051031591617,2.5140000000000002
2,55.1,2.756,1,55.08,14.0,15101,2.193,1.53,0.667,,55.976331795431825,-3.1700509195809414,2.467
1,55.27,2.74,0,55.26,15.0,15101,2.175,1.508,0.709,,55.976331597365316,-3.1700512071466496,2.509
2,55.28,2.74,0,55.26,14.0,15101,2.185,1.515,0.663,,55.97633166048091,-3.170051047182079,2.463
3,55.28,2.7,1,55.26,13.0,15101,2.162,1.498,0.607,,55.976331507228586,-3.1700514150651147,2.407
1,55.27,2.74,0,55.26,15.0,15101,2.175,1.508,0.709,,55.976331597365316,-3.1700512071466496,2.509
2,55.28,2.74,0,55.26,14.0,15101,2.185,1.515,0.663,,55.97633166048091,-3.170051047182079,2.463
3,55.28,2.7,1,55.26,13.0,15101,2.162,1.498,0.607,,55.976331507228586,-3.1700514150651147,2.407
2,55.46,2.736,0,55.44,14.0,15301,2.187,1.506,0.662,,55.976331579660666,-3.1700510147792285,2.462
3,55.46,2.696,1,55.44,13.0,15301,2.164,1.489,0.606,,55.97633142640834,-3.1700513826622636,2.406
2,55.46,2.736,0,55.44,14.0,15301,2.187,1.506,0.662,,55.976331579660666,-3.1700510147792285,2.462
3,55.46,2.696,1,55.44,13.0,15301,2.164,1.489,0.606,,55.97633142640834,-3.1700513826622636,2.406
1,55.63,2.724,1,55.62,15.0,15301,2.172,1.485,0.705,,55.9763313906454,-3.170051254312204,2.505
2,55.64,2.712,1,55.62,14.0,15301,2.172,1.486,0.656,,55.976331399630325,-3.1700512543516215,2.456
3,55.64,2.692,1,55.62,13.0,15301,2.165,1.48,0.606,,55.976331345566,-3.1700513662834617,2.406
1,55.63,2.724,1,55.62,15.0,15301,2.172,1.485,0.705,,55.9763313906454,-3.170051254312204,2.505
2,55.64,2.712,1,55.62,14.0,15301,2.172,1.486,0.656,,55.976331399630325,-3.1700512543516215,2.456
3,55.64,2.692,1,55.62,13.0,15301,2.165,1.48,0.606,,55.976331345566,-3.1700513662834617,2.406
3,55.82,2.724,0,55.8,13.0,15301,2.196,1.491,0.613,,55.976331445085485,-3.1700508699715337,2.4130000000000003
3,55.82,2.724,0,55.8,13.0,15301,2.196,1.491,0.613,,55.976331445085485,-3.1700508699715337,2.4130000000000003
4,56.01,2.748,1,55.98,12.0,15301,2.228,1.503,0.571,,55.97633155361201,-3.170050357674972,2.371
