Ch,AziCorr(deg),Dist(m),Rfl,Azi(deg),Ele(deg),t(us),x(m),y(m),z(m),
1,54.73,2.812,1,54.72,15.00,15101,2.218,1.568,0.728,
1,54.73,2.812,1,54.72,15.00,15101,2.218,1.568,0.728,
1,54.91,2.732,0,54.90,15.00,15101,2.159,1.517,0.707,
2,54.92,2.704,0,54.90,14.00,15101,2.147,1.508,0.654,
1,54.91,2.732,0,54.90,15.00,15101,2.159,1.517,0.707,
2,54.92,2.704,0,54.90,14.00,15101,2.147,1.508,0.654,
1,55.09,2.760,0,55.08,15.00,15101,2.186,1.526,0.714,
2,55.10,2.756,1,55.08,14.00,15101,2.193,1.530,0.667,
1,55.09,2.760,0,55.08,15.00,15101,2.186,1.526,0.714,
2,55.10,2.756,1,55.08,14.00,15101,2.193,1.530,0.667,
1,55.27,2.740,0,55.26,15.00,15101,2.175,1.508,0.709,
2,55.28,2.740,0,55.26,14.00,15101,2.185,1.515,0.663,
3,55.28,2.700,1,55.26,13.00,15101,2.162,1.498,0.607,
1,55.27,2.740,0,55.26,15.00,15101,2.175,1.508,0.709,
2,55.28,2.740,0,55.26,14.00,15101,2.185,1.515,0.663,
3,55.28,2.700,1,55.26,13.00,15101,2.162,1.498,0.607,
2,55.46,2.736,0,55.44,14.00,15301,2.187,1.506,0.662,
3,55.46,2.696,1,55.44,13.00,15301,2.164,1.489,0.606,
2,55.46,2.736,0,55.44,14.00,15301,2.187,1.506,0.662,
3,55.46,2.696,1,55.44,13.00,15301,2.164,1.489,0.606,
1,55.63,2.724,1,55.62,15.00,15301,2.172,1.485,0.705,
2,55.64,2.712,1,55.62,14.00,15301,2.172,1.486,0.656,
3,55.64,2.692,1,55.62,13.00,15301,2.165,1.480,0.606,
1,55.63,2.724,1,55.62,15.00,15301,2.172,1.485,0.705,
2,55.64,2.712,1,55.62,14.00,15301,2.172,1.486,0.656,
3,55.64,2.692,1,55.62,13.00,15301,2.165,1.480,0.606,
3,55.82,2.724,0,55.80,13.00,15301,2.196,1.491,0.613,
3,55.82,2.724,0,55.80,13.00,15301,2.196,1.491,0.613,
4,56.01,2.748,1,55.98,12.00,15301,2.228,1.503,0.571,
4,56.01,2.748,1,55.98,12.00,15301,2.228,1.503,0.571,
32,251.64,6.400,7,251.46,-16.00,69697,-5.839,-1.938,-1.764,
32,251.64,6.400,7,251.46,-16.00,69697,-5.839,-1.938,-1.764,
32,251.82,6.400,6,251.64,-16.00,69697,-5.845,-1.919,-1.764,
32,251.82,6.400,6,251.64,-16.00,69697,-5.845,-1.919,-1.764,
31,252.00,6.756,7,251.82,-15.00,69697,-6.206,-2.018,-1.749,
32,252.00,6.396,6,251.82,-16.00,69697,-5.847,-1.900,-1.763,
31,252.00,6.756,7,251.82,-15.00,69697,-6.206,-2.018,-1.749,
32,252.00,6.396,6,251.82,-16.00,69697,-5.847,-1.900,-1.763,
30,252.17,7.152,7,252.00,-14.00,69896,-6.606,-2.125,-1.730,
31,252.18,6.752,5,252.00,-15.00,69896,-6.209,-1.997,-1.748,
32,252.18,6.400,6,252.00,-16.00,69896,-5.857,-1.883,-1.764,
30,252.17,7.152,7,252.00,-14.00,69896,-6.606,-2.125,-1.730,
31,252.18,6.752,5,252.00,-15.00,69896,-6.209,-1.997,-1.748,
32,252.18,6.400,6,252.00,-16.00,69896,-5.857,-1.883,-1.764,
29,252.35,7.644,7,252.18,-13.00,69896,-7.097,-2.260,-1.720,
30,252.35,7.148,8,252.18,-14.00,69896,-6.609,-2.103,-1.729,
31,252.36,6.748,6,252.18,-15.00,69896,-6.211,-1.976,-1.747,
32,252.36,6.408,5,252.18,-16.00,69896,-5.870,-1.867,-1.766,
