Ch,AziCorr(deg),Dist(m),Rfl,Azi(deg),Ele(deg),t(us),x(m),y(m),z(m),,x_adj,y_adj
26,0,0,0,138.24,0,938297,0,0,0,,-3.170086,55.976318
28,138.4,4.48,2,138.24,-12,938297,2.91,-3.276,-0.931,,-0.260086,52.700318
29,138.41,4.508,0,138.24,-13,938297,2.916,-3.285,-1.014,,-0.254086,52.691318
30,138.41,4.516,1,138.24,-14,938297,2.909,-3.277,-1.093,,-0.261086,52.699318
31,0,0,0,138.24,0,938297,0,0,0,,-3.170086,55.976318
32,0,0,0,138.24,0,938297,0,0,0,,-3.170086,55.976318
26,0,0,0,138.24,0,938297,0,0,0,,-3.170086,55.976318
28,138.4,4.48,2,138.24,-12,938297,2.91,-3.276,-0.931,,-0.260086,52.700318
29,138.41,4.508,0,138.24,-13,938297,2.916,-3.285,-1.014,,-0.254086,52.691318
30,138.41,4.516,1,138.24,-14,938297,2.909,-3.277,-1.093,,-0.261086,52.699318
31,0,0,0,138.24,0,938297,0,0,0,,-3.170086,55.976318
32,0,0,0,138.24,0,938297,0,0,0,,-3.170086,55.976318
26,0,0,0,138.42,0,938297,0,0,0,,-3.170086,55.976318
28,138.58,4.496,1,138.42,-12,938297,2.91,-3.297,-0.935,,-0.260086,52.679318
29,138.59,4.488,0,138.42,-13,938297,2.893,-3.279,-1.01,,-0.277086,52.697318
30,138.59,4.516,1,138.42,-14,938297,2.898,-3.286,-1.093,,-0.272086,52.690318
31,0,0,0,138.42,0,938297,0,0,0,,-3.170086,55.976318
32,0,0,0,138.42,0,938297,0,0,0,,-3.170086,55.976318
26,0,0,0,138.42,0,938297,0,0,0,,-3.170086,55.976318
28,138.58,4.496,1,138.42,-12,938297,2.91,-3.297,-0.935,,-0.260086,52.679318
29,138.59,4.488,0,138.42,-13,938297,2.893,-3.279,-1.01,,-0.277086,52.697318
30,138.59,4.516,1,138.42,-14,938297,2.898,-3.286,-1.093,,-0.272086,52.690318
31,0,0,0,138.42,0,938297,0,0,0,,-3.170086,55.976318
32,0,0,0,138.42,0,938297,0,0,0,,-3.170086,55.976318
28,138.76,4.508,1,138.6,-12,938297,2.907,-3.315,-0.937,,-0.263086,52.661318
29,0,0,0,138.6,0,938297,0,0,0,,-3.170086,55.976318
30,0,0,0,138.6,0,938297,0,0,0,,-3.170086,55.976318
