Ch,AziCorr(deg),Dist(m),Rfl,Azi(deg),Ele(deg),t(us),x(m),y(m),z(m),
23,0.00,0.000,0,6.12,0.00,901503,0.000,0.000,0.000,
23,0.00,0.000,0,6.12,0.00,901503,0.000,0.000,0.000,
30,0.00,0.000,0,8.10,0.00,902104,0.000,0.000,0.000,
30,0.00,0.000,0,8.10,0.00,902104,0.000,0.000,0.000,
30,0.00,0.000,0,8.46,0.00,902104,0.000,0.000,0.000,
30,0.00,0.000,0,8.46,0.00,902104,0.000,0.000,0.000,
23,8.77,6.176,0,8.64,-7.00,902303,0.935,6.058,-0.753,
25,0.00,0.000,0,8.64,0.00,902303,0.000,0.000,0.000,
26,8.79,6.220,0,8.64,-10.00,902303,0.935,6.054,-1.080,
27,8.79,6.248,0,8.64,-11.00,902303,0.937,6.061,-1.192,
28,8.80,6.252,1,8.64,-12.00,902303,0.935,6.044,-1.300,
29,8.80,6.288,1,8.64,-13.00,902303,0.937,6.055,-1.414,
30,8.81,6.304,1,8.64,-14.00,902303,0.937,6.045,-1.525,
31,8.82,6.332,3,8.64,-15.00,902303,0.937,6.044,-1.639,
23,8.77,6.176,0,8.64,-7.00,902303,0.935,6.058,-0.753,
25,0.00,0.000,0,8.64,0.00,902303,0.000,0.000,0.000,
26,8.79,6.220,0,8.64,-10.00,902303,0.935,6.054,-1.080,
27,8.79,6.248,0,8.64,-11.00,902303,0.937,6.061,-1.192,
28,8.80,6.252,1,8.64,-12.00,902303,0.935,6.044,-1.300,
29,8.80,6.288,1,8.64,-13.00,902303,0.937,6.055,-1.414,
30,8.81,6.304,1,8.64,-14.00,902303,0.937,6.045,-1.525,
31,8.82,6.332,3,8.64,-15.00,902303,0.937,6.044,-1.639,
23,8.95,6.148,2,8.82,-7.00,902303,0.949,6.028,-0.749,
24,8.96,6.168,1,8.82,-8.00,902303,0.950,6.034,-0.858,
25,8.96,6.184,2,8.82,-9.00,902303,0.951,6.033,-0.967,
27,8.97,6.224,6,8.82,-11.00,902303,0.953,6.035,-1.188,
28,8.98,6.248,6,8.82,-12.00,902303,0.953,6.037,-1.299,
29,8.98,6.280,1,8.82,-13.00,902303,0.955,6.044,-1.413,
30,8.99,6.280,0,8.82,-14.00,902303,0.952,6.019,-1.519,
31,9.00,6.244,0,8.82,-15.00,902303,0.942,5.957,-1.616,
23,8.95,6.148,2,8.82,-7.00,902303,0.949,6.028,-0.749,
24,8.96,6.168,1,8.82,-8.00,902303,0.950,6.034,-0.858,
25,8.96,6.184,2,8.82,-9.00,902303,0.951,6.033,-0.967,
26,8.97,6.208,4,8.82,-10.00,902303,0.952,6.039,-1.078,
27,8.97,6.224,6,8.82,-11.00,902303,0.953,6.035,-1.188,
28,8.98,6.248,6,8.82,-12.00,902303,0.953,6.037,-1.299,
29,8.98,6.280,1,8.82,-13.00,902303,0.955,6.044,-1.413,
30,8.99,6.280,0,8.82,-14.00,902303,0.952,6.019,-1.519,
31,9.00,6.244,0,8.82,-15.00,902303,0.942,5.957,-1.616,
23,9.13,6.140,2,9.00,-7.00,902303,0.967,6.017,-0.748,
27,0.00,0.000,0,9.00,0.00,902303,0.000,0.000,0.000,
28,0.00,0.000,0,9.00,0.00,902303,0.000,0.000,0.000,
29,9.16,6.180,0,9.00,-13.00,902303,0.959,5.945,-1.390,
30,9.17,6.176,0,9.00,-14.00,902303,0.955,5.916,-1.494,
31,9.18,6.216,1,9.00,-15.00,902303,0.957,5.927,-1.609,
23,9.13,6.140,2,9.00,-7.00,902303,0.967,6.017,-0.748,
24,9.14,6.180,0,9.00,-8.00,902303,0.971,6.042,-0.860,
26,9.15,6.172,0,9.00,-10.00,902303,0.966,6.001,-1.072,
27,0.00,0.000,0,9.00,0.00,902303,0.000,0.000,0.000,
28,0.00,0.000,0,9.00,0.00,902303,0.000,0.000,0.000,
29,9.16,6.180,0,9.00,-13.00,902303,0.959,5.945,-1.390,
30,9.17,6.176,0,9.00,-14.00,902303,0.955,5.916,-1.494,
31,9.18,6.216,1,9.00,-15.00,902303,0.957,5.927,-1.609,
24,9.32,6.052,0,9.18,-8.00,902303,0.970,5.914,-0.842,
25,9.32,6.060,0,9.18,-9.00,902303,0.969,5.906,-0.948,
26,9.33,6.088,0,9.18,-10.00,902303,0.971,5.916,-1.057,
27,9.33,6.112,0,9.18,-11.00,902303,0.973,5.920,-1.166,
28,9.34,6.140,1,9.18,-12.00,902303,0.974,5.926,-1.277,
29,9.34,6.156,0,9.18,-13.00,902303,0.973,5.919,-1.385,
30,9.35,6.180,0,9.18,-14.00,902303,0.974,5.917,-1.495,
31,9.36,6.200,0,9.18,-15.00,902303,0.973,5.909,-1.605,
32,9.36,6.344,3,9.18,-16.00,902303,0.992,6.017,-1.749,
23,9.31,6.132,1,9.18,-7.00,902303,0.985,6.006,-0.747,
24,9.32,6.052,0,9.18,-8.00,902303,0.970,5.914,-0.842,
25,9.32,6.060,0,9.18,-9.00,902303,0.969,5.906,-0.948,
26,9.33,6.088,0,9.18,-10.00,902303,0.971,5.916,-1.057,
27,9.33,6.112,0,9.18,-11.00,902303,0.973,5.920,-1.166,
28,9.34,6.140,1,9.18,-12.00,902303,0.974,5.926,-1.277,
29,9.34,6.156,0,9.18,-13.00,902303,0.973,5.919,-1.385,
30,9.35,6.180,0,9.18,-14.00,902303,0.974,5.917,-1.495,
31,9.36,6.200,0,9.18,-15.00,902303,0.973,5.909,-1.605,
32,9.36,6.344,3,9.18,-16.00,902303,0.992,6.017,-1.749,
25,9.50,6.036,0,9.36,-9.00,902502,0.984,5.880,-0.944,
27,9.51,6.108,0,9.36,-11.00,902502,0.991,5.913,-1.165,
28,0.00,0.000,0,9.36,0.00,902502,0.000,0.000,0.000,
29,0.00,0.000,0,9.36,0.00,902502,0.000,0.000,0.000,
30,9.53,6.088,0,9.36,-14.00,902502,0.978,5.826,-1.473,
31,0.00,0.000,0,9.36,0.00,902502,0.000,0.000,0.000,
32,9.54,6.124,2,9.36,-16.00,902502,0.976,5.805,-1.688,
24,9.50,6.056,1,9.36,-8.00,902502,0.989,5.915,-0.843,
25,9.50,6.036,0,9.36,-9.00,902502,0.984,5.880,-0.944,
26,9.51,6.096,0,9.36,-10.00,902502,0.991,5.921,-1.059,
27,9.51,6.108,0,9.36,-11.00,902502,0.991,5.913,-1.165,
28,0.00,0.000,0,9.36,0.00,902502,0.000,0.000,0.000,
29,0.00,0.000,0,9.36,0.00,902502,0.000,0.000,0.000,
30,9.53,6.088,0,9.36,-14.00,902502,0.978,5.826,-1.473,
31,0.00,0.000,0,9.36,0.00,902502,0.000,0.000,0.000,
32,9.54,6.124,2,9.36,-16.00,902502,0.976,5.805,-1.688,
25,0.00,0.000,0,9.54,0.00,902502,0.000,0.000,0.000,
26,9.69,5.956,0,9.54,-10.00,902502,0.986,5.782,-1.034,
27,9.69,6.004,0,9.54,-11.00,902502,0.992,5.810,-1.146,
28,9.70,6.024,0,9.54,-12.00,902502,0.992,5.808,-1.252,
29,9.70,6.036,1,9.54,-13.00,902502,0.991,5.797,-1.358,
30,9.71,6.060,3,9.54,-14.00,902502,0.992,5.796,-1.466,
31,9.72,6.084,1,9.54,-15.00,902502,0.991,5.793,-1.575,
32,9.72,6.088,2,9.54,-16.00,902502,0.988,5.768,-1.678,
25,0.00,0.000,0,9.54,0.00,902502,0.000,0.000,0.000,
26,9.69,5.956,0,9.54,-10.00,902502,0.986,5.782,-1.034,
27,9.69,6.004,0,9.54,-11.00,902502,0.992,5.810,-1.146,
28,9.70,6.024,0,9.54,-12.00,902502,0.992,5.808,-1.252,
29,9.70,6.036,1,9.54,-13.00,902502,0.991,5.797,-1.358,
30,9.71,6.060,3,9.54,-14.00,902502,0.992,5.796,-1.466,
31,9.72,6.084,1,9.54,-15.00,902502,0.991,5.793,-1.575,
32,9.72,6.088,2,9.54,-16.00,902502,0.988,5.768,-1.678,
24,9.86,5.936,1,9.72,-8.00,902502,1.006,5.792,-0.826,
27,9.87,6.000,1,9.72,-11.00,902502,1.010,5.803,-1.145,
28,9.88,5.996,1,9.72,-12.00,902502,1.005,5.778,-1.247,
29,9.88,6.032,0,9.72,-13.00,902502,1.008,5.790,-1.357,
30,9.89,6.040,0,9.72,-14.00,902502,1.007,5.773,-1.461,
31,0.00,0.000,0,9.72,0.00,902502,0.000,0.000,0.000,
32,9.90,6.096,1,9.72,-16.00,902502,1.007,5.773,-1.680,
24,9.86,5.936,1,9.72,-8.00,902502,1.006,5.792,-0.826,
25,9.86,5.956,1,9.72,-9.00,902502,1.007,5.796,-0.932,
26,9.87,5.968,4,9.72,-10.00,902502,1.006,5.791,-1.036,
27,9.87,6.000,1,9.72,-11.00,902502,1.010,5.803,-1.145,
